"cd_prod_to_patients","d_completed","cd_regio"
"1","2020-05-12","VLA"
"2","2020-05-12","VLA"
"2","2020-05-12","VLA"
"2","2020-05-12","WAL"
"2","2020-05-12","VLA"
"2","2020-05-12","VLA"
"2","2020-05-12","VLA"
"2","2020-05-12","BRU"
"2","2020-05-12","BRU"
"2","2020-05-12","VLA"
"2","2020-05-12","VLA"
"2","2020-05-12","WAL"
"3","2020-05-12","VLA"
"3","2020-05-12","BRU"
"3","2020-05-12","VLA"
"3","2020-05-12","WAL"
"3","2020-05-12","VLA"
"3","2020-05-12","VLA"
"4","2020-05-12","VLA"
"4","2020-05-12","VLA"
"4","2020-05-12","WAL"
"4","2020-05-12","VLA"
"4","2020-05-12","VLA"
"4","2020-05-12","VLA"
"4","2020-05-12","BRU"
"4","2020-05-12","VLA"
"4","2020-05-12","VLA"
"5","2020-05-12","VLA"
"5","2020-05-12","WAL"
"5","2020-05-12","VLA"
"6","2020-05-12","VLA"
"6","2020-05-12","VLA"
"6","2020-05-12","VLA"
"6","2020-05-12","VLA"
"6","2020-05-12","BRU"
"7","2020-05-12","VLA"
"7","2020-05-12","VLA"
"8","2020-05-12","VLA"
"1","2020-05-13","VLA"
"1","2020-05-13","VLA"
"1","2020-05-13","VLA"
"1","2020-05-13","VLA"
"1","2020-05-13","VLA"
"1","2020-05-13","WAL"
"1","2020-05-13","VLA"
"1","2020-05-13","VLA"
"1","2020-05-13","BRU"
"1","2020-05-13","BRU"
"1","2020-05-13","VLA"
"1","2020-05-13","WAL"
"1","2020-05-13","VLA"
"1","2020-05-13","VLA"
"1","2020-05-13","VLA"
"1","2020-05-13","VLA"
"1","2020-05-13","VLA"
"2","2020-05-13","VLA"
"2","2020-05-13","VLA"
"2","2020-05-13","VLA"
"2","2020-05-13","VLA"
"2","2020-05-13","VLA"
"2","2020-05-13","VLA"
"2","2020-05-13","WAL"
"2","2020-05-13","VLA"
"2","2020-05-13","VLA"
"2","2020-05-13","BRU"
"2","2020-05-13","BRU"
"2","2020-05-13","VLA"
"2","2020-05-13","VLA"
"2","2020-05-13","WAL"
"2","2020-05-13","VLA"
"2","2020-05-13","VLA"
"2","2020-05-13","VLA"
"2","2020-05-13","VLA"
"2","2020-05-13","VLA"
"3","2020-05-13","VLA"
"3","2020-05-13","VLA"
"3","2020-05-13","VLA"
"3","2020-05-13","VLA"
"3","2020-05-13","VLA"
"3","2020-05-13","WAL"
"3","2020-05-13","VLA"
"3","2020-05-13","VLA"
"3","2020-05-13","BRU"
"3","2020-05-13","BRU"
"3","2020-05-13","VLA"
"3","2020-05-13","VLA"
"3","2020-05-13","VLA"
"4","2020-05-13","VLA"
"4","2020-05-13","VLA"
"4","2020-05-13","VLA"
"4","2020-05-13","VLA"
"4","2020-05-13","VLA"
"4","2020-05-13","VLA"
"4","2020-05-13","BRU"
"4","2020-05-13","BRU"
"4","2020-05-13","VLA"
"4","2020-05-13","VLA"
"4","2020-05-13","VLA"
"4","2020-05-13","VLA"
"4","2020-05-13","VLA"
"4","2020-05-13","VLA"
"4","2020-05-13","VLA"
"4","2020-05-13","VLA"
"5","2020-05-13","VLA"
"5","2020-05-13","VLA"
"5","2020-05-13","VLA"
"5","2020-05-13","VLA"
"5","2020-05-13","WAL"
"5","2020-05-13","BRU"
"5","2020-05-13","BRU"
"6","2020-05-13","BRU"
"6","2020-05-13","VLA"
"6","2020-05-13","VLA"
"6","2020-05-13","VLA"
"6","2020-05-13","VLA"
"6","2020-05-13","VLA"
"6","2020-05-13","VLA"
"7","2020-05-13","VLA"
"7","2020-05-13","VLA"
"7","2020-05-13","VLA"
"7","2020-05-13","VLA"
"7","2020-05-13","BRU"
"1","2020-05-14","VLA"
"1","2020-05-14","WAL"
"1","2020-05-14","VLA"
"1","2020-05-14","VLA"
"1","2020-05-14","WAL"
"1","2020-05-14","VLA"
"1","2020-05-14","VLA"
"2","2020-05-14","VLA"
"2","2020-05-14","VLA"
"2","2020-05-14","WAL"
"2","2020-05-14","VLA"
"2","2020-05-14","VLA"
"2","2020-05-14","VLA"
"2","2020-05-14","VLA"
"2","2020-05-14","VLA"
"3","2020-05-14","VLA"
"3","2020-05-14","WAL"
"3","2020-05-14","VLA"
"3","2020-05-14","WAL"
"3","2020-05-14","VLA"
"3","2020-05-14","VLA"
"4","2020-05-14","VLA"
"4","2020-05-14","VLA"
"4","2020-05-14","WAL"
"4","2020-05-14","VLA"
"4","2020-05-14","VLA"
"4","2020-05-14","WAL"
"4","2020-05-14","VLA"
"4","2020-05-14","VLA"
"5","2020-05-14","VLA"
"5","2020-05-14","WAL"
"5","2020-05-14","VLA"
"6","2020-05-14","VLA"
"6","2020-05-14","VLA"
"7","2020-05-14","VLA"
"7","2020-05-14","VLA"
"7","2020-05-14","VLA"
"7","2020-05-14","VLA"
"8","2020-05-14","VLA"
"1","2020-05-18","VLA"
"1","2020-05-18","VLA"
"1","2020-05-18","VLA"
"1","2020-05-18","VLA"
"1","2020-05-18","VLA"
"1","2020-05-18","VLA"
"1","2020-05-18","VLA"
"1","2020-05-18","VLA"
"1","2020-05-18","VLA"
"1","2020-05-18","BRU"
"1","2020-05-18","WAL"
"1","2020-05-18","VLA"
"1","2020-05-18","VLA"
"1","2020-05-18","VLA"
"1","2020-05-18","VLA"
"1","2020-05-18","VLA"
"1","2020-05-18","VLA"
"1","2020-05-18","VLA"
"1","2020-05-18","VLA"
"1","2020-05-18","VLA"
"1","2020-05-18","VLA"
"2","2020-05-18","VLA"
"2","2020-05-18","VLA"
"2","2020-05-18","VLA"
"2","2020-05-18","VLA"
"2","2020-05-18","VLA"
"2","2020-05-18","VLA"
"2","2020-05-18","VLA"
"2","2020-05-18","VLA"
"2","2020-05-18","VLA"
"2","2020-05-18","VLA"
"2","2020-05-18","VLA"
"2","2020-05-18","VLA"
"2","2020-05-18","BRU"
"2","2020-05-18","WAL"
"2","2020-05-18","VLA"
"2","2020-05-18","VLA"
"2","2020-05-18","VLA"
"2","2020-05-18","VLA"
"2","2020-05-18","VLA"
"2","2020-05-18","VLA"
"2","2020-05-18","VLA"
"2","2020-05-18","VLA"
"2","2020-05-18","VLA"
"2","2020-05-18","VLA"
"3","2020-05-18","VLA"
"3","2020-05-18","VLA"
"3","2020-05-18","VLA"
"3","2020-05-18","VLA"
"3","2020-05-18","VLA"
"3","2020-05-18","VLA"
"3","2020-05-18","VLA"
"3","2020-05-18","VLA"
"3","2020-05-18","VLA"
"3","2020-05-18","BRU"
"3","2020-05-18","WAL"
"3","2020-05-18","VLA"
"3","2020-05-18","VLA"
"3","2020-05-18","VLA"
"3","2020-05-18","VLA"
"3","2020-05-18","VLA"
"3","2020-05-18","VLA"
"3","2020-05-18","VLA"
"3","2020-05-18","VLA"
"4","2020-05-18","VLA"
"4","2020-05-18","VLA"
"4","2020-05-18","VLA"
"4","2020-05-18","VLA"
"4","2020-05-18","VLA"
"4","2020-05-18","VLA"
"4","2020-05-18","VLA"
"4","2020-05-18","VLA"
"4","2020-05-18","VLA"
"4","2020-05-18","VLA"
"4","2020-05-18","VLA"
"4","2020-05-18","VLA"
"4","2020-05-18","BRU"
"4","2020-05-18","WAL"
"4","2020-05-18","VLA"
"4","2020-05-18","VLA"
"4","2020-05-18","VLA"
"4","2020-05-18","VLA"
"4","2020-05-18","VLA"
"4","2020-05-18","VLA"
"4","2020-05-18","VLA"
"4","2020-05-18","VLA"
"4","2020-05-18","VLA"
"5","2020-05-18","VLA"
"5","2020-05-18","VLA"
"5","2020-05-18","BRU"
"5","2020-05-18","VLA"
"5","2020-05-18","VLA"
"5","2020-05-18","VLA"
"5","2020-05-18","VLA"
"5","2020-05-18","VLA"
"5","2020-05-18","VLA"
"6","2020-05-18","VLA"
"6","2020-05-18","VLA"
"6","2020-05-18","VLA"
"6","2020-05-18","VLA"
"6","2020-05-18","VLA"
"6","2020-05-18","VLA"
"6","2020-05-18","WAL"
"6","2020-05-18","VLA"
"6","2020-05-18","VLA"
"6","2020-05-18","VLA"
"6","2020-05-18","VLA"
"7","2020-05-18","VLA"
"7","2020-05-18","VLA"
"7","2020-05-18","VLA"
"7","2020-05-18","VLA"
"7","2020-05-18","WAL"
"7","2020-05-18","VLA"
"7","2020-05-18","VLA"
"7","2020-05-18","VLA"
"7","2020-05-18","VLA"
"7","2020-05-18","VLA"
"7","2020-05-18","VLA"
"8","2020-05-18","VLA"
"1","2020-05-19","VLA"
"1","2020-05-19","VLA"
"1","2020-05-19","VLA"
"1","2020-05-19","VLA"
"1","2020-05-19","VLA"
"2","2020-05-19","VLA"
"2","2020-05-19","VLA"
"2","2020-05-19","VLA"
"2","2020-05-19","VLA"
"2","2020-05-19","VLA"
"3","2020-05-19","VLA"
"3","2020-05-19","VLA"
"3","2020-05-19","VLA"
"3","2020-05-19","VLA"
"4","2020-05-19","VLA"
"4","2020-05-19","VLA"
"4","2020-05-19","VLA"
"4","2020-05-19","VLA"
"4","2020-05-19","VLA"
"4","2020-05-19","VLA"
"5","2020-05-19","VLA"
"5","2020-05-19","VLA"
"6","2020-05-19","VLA"
"6","2020-05-19","VLA"
"7","2020-05-19","VLA"
"1","2020-05-20","VLA"
"1","2020-05-20","VLA"
"1","2020-05-20","VLA"
"1","2020-05-20","VLA"
"1","2020-05-20","VLA"
"1","2020-05-20","VLA"
"1","2020-05-20","VLA"
"1","2020-05-20","VLA"
"1","2020-05-20","VLA"
"2","2020-05-20","VLA"
"2","2020-05-20","VLA"
"2","2020-05-20","VLA"
"2","2020-05-20","VLA"
"2","2020-05-20","VLA"
"2","2020-05-20","VLA"
"2","2020-05-20","VLA"
"2","2020-05-20","VLA"
"2","2020-05-20","VLA"
"3","2020-05-20","VLA"
"3","2020-05-20","VLA"
"3","2020-05-20","VLA"
"3","2020-05-20","VLA"
"3","2020-05-20","VLA"
"3","2020-05-20","VLA"
"3","2020-05-20","VLA"
"3","2020-05-20","VLA"
"4","2020-05-20","VLA"
"4","2020-05-20","VLA"
"4","2020-05-20","VLA"
"4","2020-05-20","VLA"
"4","2020-05-20","VLA"
"4","2020-05-20","VLA"
"4","2020-05-20","VLA"
"4","2020-05-20","VLA"
"4","2020-05-20","VLA"
"5","2020-05-20","VLA"
"6","2020-05-20","VLA"
"6","2020-05-20","VLA"
"6","2020-05-20","VLA"
"7","2020-05-20","VLA"
"8","2020-05-20","VLA"
"1","2020-05-21","VLA"
"1","2020-05-21","VLA"
"2","2020-05-21","VLA"
"2","2020-05-21","VLA"
"4","2020-05-21","VLA"
"4","2020-05-21","VLA"
"5","2020-05-21","VLA"
"6","2020-05-21","VLA"
"6","2020-05-21","VLA"
"1","2020-05-22","VLA"
"1","2020-05-22","WAL"
"1","2020-05-22","VLA"
"2","2020-05-22","VLA"
"2","2020-05-22","WAL"
"2","2020-05-22","VLA"
"3","2020-05-22","VLA"
"4","2020-05-22","VLA"
"4","2020-05-22","VLA"
"4","2020-05-22","WAL"
"6","2020-05-22","VLA"
"6","2020-05-22","VLA"
"7","2020-05-22","VLA"
"1","2020-05-25","VLA"
"2","2020-05-25","VLA"
"3","2020-05-25","VLA"
"4","2020-05-25","VLA"
"6","2020-05-25","VLA"
"7","2020-05-25","VLA"
