"tx_measures_support","d_completed","cd_regio"
"hoe versoepelen vanaf 04/05/2020","2020-04-27","VLA"
"Voorlopig voldoende richtlijnen vanuit I-Mens en de VBOV","2020-04-27","VLA"
"check-in met vroedvrouwen om te kijken wat de draagkracht is, extra steun nodig,...","2020-04-27","VLA"
"Enkele goede schorten","2020-04-27","VLA"
"vlotter toegang tot voldoende beschermend materiaal","2020-04-27","VLA"
"Toekomstvisie zorg + wat bij genezen coronabesmettingen tijdens zwangerschap","2020-04-27","VLA"
"/","2020-04-28","VLA"
"/","2020-04-28","VLA"
"Nood aan meet psychosociale ondersteuning van zowel de vroedvrouwen als de gezinnen.  De Riziv-vergoedingen die wij krijgen volstaan niet om de meerkost aan materiaal te kunnen financieren.","2020-04-28","VLA"
"Meer beschermingsmateriaal + premie","2020-04-28","VLA"
"Affiche voor vroedvrouwen  Informatie via media over vroedvrouwen (patiënten mogen nog een vroedvrouw contacteren, thuis laten komen voor verzorging en hulp)","2020-04-28","VLA"
"De vroedvrouwen niet over het hoofd zien. Mondmaskerbedeling kwam laat op gang....","2020-04-28","VLA"
"Nog steeds geen extra beschermingsmateriaal voorradig","2020-04-29","VLA"
"-","2020-04-29","VLA"
"/","2020-04-29","VLA"
"Duidelijke richtlijnen 1ste lijn (verschil tussen thuisverpleging op sciensano en vroedvrouwen), ook betreffende gebruik mondmaskers.","2020-04-29","VLA"
"schorten, aansluitende mondmaskers","2020-04-29","VLA"
"Terugbetaling door overheid van beschermingsmateriaal. Dit is een enorme bijkomende kost, zeker met patiënten met Covid 19 waar er extra beschermingsmateriaal moet worden gebruikt.","2020-04-29","VLA"
"Maatregelen mbt groepsworkshops, regelgeving hierrond","2020-04-29","VLA"
"Voorlopig voldoende richtlijnen vanuit I-Mens en de VBOV","2020-04-29","VLA"
"Financiële steun, psychosociale begeleiding","2020-04-29","VLA"
"werken zonder problemen over beschermingsmateriaal","2020-04-29","VLA"
"degelijke mondmaskers, ffp2 maskers, schorten","2020-04-29","BRU"
"Extra beschermingskledij gratis of tegen gangbare prijzen","2020-04-29","VLA"
"materiaal","2020-04-29","BRU"
"Voldoende PBM","2020-04-29","VLA"
"deze zijn reeds genomen","2020-04-29","VLA"
"check-in met vroedvrouwen om te kijken wat de draagkracht is, extra steun nodig,...","2020-04-29","VLA"
".","2020-04-29","VLA"
"financiële steun voor het beschermend materiaal, zeker nu tandartsen dit krijgen, wij zoeken uren om het te vinden en dan betalen we heel veel, enkel mondmaskers krijgen we","2020-04-29","VLA"
"Iedere vroedvrouw identiek behandelen/bedelen. 2 collega's stonden op de lijst van de bedeling door de brandweerzone, 1 collega niet (Ann Cops) + Sanne Schoubben staat hier met een zeer oud e-mail adres op.","2020-04-29","VLA"
"schort en extra handschoenen","2020-04-29","VLA"
"voldoende aan richtlijnen I-mens en vbov","2020-04-29","VLA"
"wegwerpbeschermschorten","2020-04-29","VLA"
"/","2020-05-01","VLA"
"beschermschorten vlotter aanbieden","2020-05-02","VLA"
"wegwerpbare schorten, ffp2 maskers","2020-05-04","VLA"
"Beschermende overjassen en Ffp2 maskers eerlijkere financiële steun","2020-05-04","VLA"
"overjassen brillen en ffp2 maskers","2020-05-04","VLA"
"voldoende beschermend materiaal zoals FFP2 maskers voor contact met besmette pat","2020-05-04","VLA"
"voldoende aan richtlijnen I-mens en vbov","2020-05-04","VLA"
"Voldoende PBM","2020-05-04","VLA"
"Voorlopig voldoende richtlijnen vanuit I-Mens en de VBOV","2020-05-04","VLA"
"-","2020-05-04","VLA"
"dat alle zwangerer vrouwen zouden getest worden ook zonder symptomen, en al mijn collega's","2020-05-04","VLA"
"tegemoetkoming in de kosten van beschermend materiaal","2020-05-04","VLA"
"wegwerpbare schorten","2020-05-04","VLA"
"Financiele steun voor de aankoop van beschermend materiaal","2020-05-04","VLA"
"voorlopig niets nodig .zelf veel gekocht","2020-05-04","VLA"
"Beschermingsmateriaal","2020-05-04","VLA"
"/","2020-05-04","VLA"
"check-in met vroedvrouwen om te kijken wat de draagkracht is, extra steun nodig,...","2020-05-04","VLA"
"maatregelen heropstart","2020-05-04","VLA"
"Er zijn al veel maatregelen genomen, echter bij het begin van de epidemie met grote vertraging. Indien er in de toekomst nog beschermingsmateriaal dient verdeeld te worden, graag de 1e lijn mee opnemen in de eerste bedeling.","2020-05-04","VLA"
"Betaalbaar materiaal. Zie verder voor toelichting.","2020-05-05","VLA"
"Aan de mensen laten weten dat zelfstandige vroedvrouwen actief blijven","2020-05-05","VLA"
"werkbare maatregelen","2020-05-05","VLA"
"alle pasbevalen moeders testen die naar huis komen","2020-05-06","VLA"
"beschermschorten en FFP 2 maskers","2020-05-06","VLA"
"snellere beslissingen, meer financiële steun","2020-05-06","VLA"
"check-in met vroedvrouwen om te kijken wat de draagkracht is, extra steun nodig,...","2020-05-06","VLA"
"Voldoende bescherm materiaal nog steeds moeilijk te verkrijgen","2020-05-06","VLA"
"Voorlopig voldoende richtlijnen vanuit I-Mens en de VBOV","2020-05-06","VLA"
"Duidelijke richtlijnen, maar heb de indruk dat die er geleidelijk aan komen","2020-05-06","VLA"
"zijn al genomen","2020-05-06","VLA"
"Financiële hulp voor de ondersteuning van de aankoop aan beschermende materiaal","2020-05-06","VLA"
"voldoende aan richtlijnen I-mens en vbov","2020-05-06","VLA"
"hogere verloning","2020-05-06","VLA"
"Overschotten, brillen en ffp2 masker aan betaalbare prijzen","2020-05-06","VLA"
"voldoende PBM","2020-05-06","VLA"
"momenteel voldoende materiaal, buiten de overschorten","2020-05-07","VLA"
"Dat we allemaal getest zouden kunnen worden op covid-19","2020-05-08","VLA"
"Voorzien van beschermkledij aan alle zorgverleners","2020-05-08","VLA"
"-","2020-05-08","VLA"
"Ontsmetting/handgel aan normale tarieven kunnen aankopen","2020-05-08","VLA"
"Betere maskers, eventueel iedereen standaard een pakket in geval van een positive COVID 19 patiente...","2020-05-09","VLA"
"Heropstarten groepssessies richtlijnen","2020-05-11","VLA"
"/","2020-05-11","VLA"
"voldoende PBM","2020-05-11","VLA"
"Beschermkledij voorzien voor contact besmette patiënten","2020-05-11","VLA"
"beschermingsmateriaal, risicopremie","2020-05-11","VLA"
"realistische maatregelen","2020-05-11","VLA"
"voldoende bescherming","2020-05-11","VLA"
"beschermkledij ontbreekt nog steeds","2020-05-11","VLA"
"Extra onderteuning vrvr. Gezinnen hebben extra nood aan psychosociale begeleiding","2020-05-11","VLA"
"check-in met vroedvrouwen om te kijken wat de draagkracht is, hebben ze extra steun nodig, zijn er bezorgdheden, ...","2020-05-11","VLA"
"Gezinnen hebben nood aan psychosociale ondersteuning","2020-05-12","VLA"
"beschermend matriaal: FFP masker, spatbril en short voor contact met besmette patient","2020-05-12","VLA"
"MINIMUM AANTAL GRATIS BESCHERMMATERIAAL MASKER SCHORT EN HANDSCHOENEN EN GEL, GROTE FINANCIELE INVESTERING","2020-05-12","VLA"
"overschorten en FFP2 masker","2020-05-13","VLA"
"check-in met vroedvrouwen om te kijken wat de draagkracht is, hebben ze extra steun nodig, zijn er bezorgdheden, ...","2020-05-13","VLA"
"voorlopig niets nodig .zelf veel gekocht","2020-05-13","VLA"
"Beschermingsmateriaal","2020-05-13","VLA"
"Voorzien van beschermkledij en spatbril/scherm aan alle zorgverleners!","2020-05-13","VLA"
"maatregelen mbt normaliseren van normale werkaanbieding","2020-05-13","VLA"
"/","2020-05-13","VLA"
"gratis voorzien van voldoende beschermingsmateriaal en uniforme en degelijke informatie.","2020-05-13","VLA"
"Financiële steun, psychosociale hulp voor vroedvrouwen en gezinnen","2020-05-14","VLA"
"een supplementje om beschermingsmateriaal te bekostigen","2020-05-18","VLA"
"ademruimte voor personeel zelf","2020-05-18","VLA"
"ziekenhuisschort en handschoenen","2020-05-18","VLA"
"Extra materiaal in geval coronapositievs pt,","2020-05-18","VLA"
"Contact nemen om te weten als iedere eerstelijns vroedvrouw genoeg materiaal heeft   Bekend maken dat de vroedvrouwen aan huis steeds actief zijn","2020-05-18","VLA"
"/","2020-05-18","VLA"
"Materiaal","2020-05-18","VLA"
"BESCHERMSCHORTEN","2020-05-19","VLA"
"Naar de vroedvrouwen luisteren  Erkenning van de vroedvrouwen als zorgverleners","2020-05-20","VLA"
"Financiële steun voor de aankoop van beschermend materiaal. Psychosociale steun aan vroedvrouwen en kwetsbare gezinnen.","2020-05-20","VLA"
"Erkenning door de overheid","2020-05-20","VLA"
"FFP2-maskers, schorten en maskers","2020-05-20","VLA"
"Voorzien van beschermkledij, naast de maskers","2020-05-20","VLA"
"Terugbetaling voorzien voor beschermingsmateriaal.","2020-05-20","VLA"
"richtlijnen naar versoepeling, partner terug betrekken","2020-05-20","VLA"
"/","2020-05-20","VLA"
"financiële ondersrteuning voor gekocht beschermend materiaal","2020-05-20","VLA"
"er zijn voldoende maatregelen","2020-05-22","VLA"
"Voldoende beschikbaarheid van beschermingsmateriaal en compensatie voor de kosten die we zelf al maakten voor de aankoop van materiaal.","2020-05-22","VLA"
"BESCHERMKLEDIJ VOORZIEN AAN ALLE ZORGVERLENERS!","2020-05-22","VLA"
"Handschoenen/schorten","2020-05-25","VLA"
"Financiële steun en psychosociale hulpverlening aan kwetsbare gezinnen. Ook psychosociale ondersteuning voor vroedvrouwen.","2020-05-25","VLA"
"/","2020-05-25","VLA"
"Voorzien van degelijk beschermmateriaal voor verzorging besmette patiënten! Schorten, overalls, shields!","2020-05-25","VLA"
"?","2020-05-25","VLA"
"handschoenen","2020-05-25","VLA"
"Meer informatie en ondersteuning in het online consulteren","2020-05-26","BRU"
